date | value
2012-01-11    | 1
2012-01-11 |      1
2012-01-11 | -1
2012-01-11 | 2147483648
2012-01-11 | 1.0
1111-22-01 | 1
2001-42-42
2012-01-11 | -1
2012-01-11 | 1.0.
2012-01-11 | a1.0
2012-01-11 | .1.0
2012-01-11 | ..1..1.1
2012-01-11 | 1.1dsfd
2012-01-11 | 1.1 sdfsd
2012-01-11 | 1.1 12
2012-01-11 | 1.1.1
2001-42-42
2012-01-11 | 2147483648
-1031-12-12 | 31
2012-01-11 |  1
2012-01-11 | 1
2012-01-11 |.
2012-01-11 |  1.
2012-01-11                  |  1.1
2012-01-11 | 1.0ff
1031-23-21 | 31
1031-12-32 | 31
3000-34-32 | 1
2022-02-00 | 1
2011-01-03 | 1.2f
2011-01-03 | 1.2
2011-1-3 | 1
re 54645 rh fghfghfgd
sfdfsdf
0-0-3 | 1
0-00-3 | 1
0-0-03 | 1
2000-1-003 | 1
